Personal experience,Research/work related,Hobbies and free time,Personality
Travelled more than 5 countries,Works with machine learning,Plays a musical instrument,Prefers working alone than in a team
Speaks at least 3 languages,Works with choice modelling,"Collects something as a hobby (stamps, coins, etc.)",Prefers working in a team than alone
Has gone on a long-distance trip alone,Collects human-involved experiment data,Loves baking or cooking,Prefers working in the morning
Lived in at least 3 countries,Supervised/ing a master student,Plays board games regularly,Prefers working late at night
Participated in a sports competition,Has written a literature review paper,Enjoys gardening or grows their own veges,Prefers working in the office
Has successfully quit a bad habit,Bachelor's degree not in Transportation/ Infrastructure/ Logistics,"Enjoys painting, drawing, or another form of art",Prefers working from home
Helped a stranger,Switched research fields at least once,Runs or works out more than 3 times a week,Identifies as an extrovert and loves interacting with people
"Has performed on stage (singing, acting, dancing)",Attended an international conference in the past year,"Enjoys knitting, crocheting, or sewing",Identifies as an introvert and loves quiet time
Buys lunch on working days,Worked in industry before PhD,Knows how to ski or snowboard,Prefers taking handwritten notes over digital ones
Has never broken a bone,Has attended a research summer school,Enjoys photography in free time,Likes spicy food
Recently handmade a gift,Attended an online conference,Enjoys building their own furniture or DIY projects,Cannot tolerate spicy food
Has been to the Olympics,Was a visiting researcher at another university,Is an avid reader (more than 5 books a year),Cannot function well without coffee or tea
Wears colorful socks,Has 1hr+ commute to work,Plays video games regularly,Prefers structured schedules over spontaneous plans
Screams during scary movies,Drinks 3+ cups coffee a day,Loves to attend live concerts or music festivals,Enjoys taking risks and trying new things
Has traveled to a remote island,Enjoys writing,Enjoys long-distance biking,Is the go-to planner in their friend group
Had a trip by bus for 7+ hours,Enjoys programming,Enjoys playing chess or other strategy games,Prefers audio learning over reading or watching
Cycled in the rain without waterproof clothing,Less than 1 year of doctoral study,"Has written or is writing a book, novel, or blog",Gets easily excited by new projects or ideas
Had an inter-city bike trip,Has more than two supervisors,Enjoys stand-up comedy,Has fear of heights
Watched more than 5 movies this year,Has more than 6 officemates,Enjoys water sports,Birthday in the same month as you
Has made a short film or video content,Catched a deadline at the last minute,Loves going to museums or art galleries,Has letter 't' in their name
Has at least 2 siblings,Keeps 0 unread emails,"Has run a 5K, 10K, or (half) marathon",Rarely gets angry
Has a pet animal,Works with non-TIL colleagues,Enjoys trying out activities with friends,Likes talking with strangers
Had haircut by themselves,Missed a conference deadline,Enjoys philosophical thinking,Thinks about the future all the time